sequence,1,2,3,4
0dbc0cf08c34a9891fb6990cfd98129f,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Planctomycetes
0dbca0897005e48b297c56dc4923a163,-7.079086083719153,-7.628578291065209,-3.967360035619484, p__Firmicutes
0dc333a917a0ab365949ae3095c7f62a,-3.1585007503503277,4.622697635339242,2.8085463626238187, p__Planctomycetes
0dc8c7d33af0ad93190abc3a6402d469,-2.1803213935385584,3.2901431351838197,3.9543914974155525, p__Proteobacteria
0dd7ad12ba77937cc7a94eb93f89132d,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Actinobacteria
0ddac4636bf55a525cb343870316b825,1.6079053561987247,5.040650932162563,-1.304635025246793, p__Acidobacteria
0dde475d3bf892c7c68389f75376b300,13.252350210228794,-5.467154975221395,-9.121569587838836, p__Actinobacteria
0dfc2d0c6217ab081452bffb7049da5f,-7.345099341237674,-2.5279277998032956,-1.379878940892168, p__Actinobacteria
0e0e5575158f1d1d63f5f68c8f1ee35f,3.8495366321456364,-1.717806432010924,11.889599893528848, p__Acidobacteria
0e45183228dafd25222639a2740978dd,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Actinobacteria
0e61d4728848bdb9deebc94ae5ac9f9d,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Chloroflexi
0ea5b0bfcbf7422f86d68b25dd299352,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Planctomycetes
0ec162f88bd78eea6b0137129b191fff,-4.365588041293011,13.483356995218896,-4.562382467693555, p__Acidobacteria
0ee78f4f8d59f608f55807d84c59f5ac,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Actinobacteria
0f0d3ef49cccf0398c1516ee8d19e280,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Actinobacteria
0f111534535f5f9b7d32b508d216bf78,-8.044148338375145,3.454173818559727,0.5087622389020015, p__Verrucomicrobia
0f1743a4813a009875c70483a130ce0c,15.563479089803316,-0.989099234555153,13.116564019035522, p__Firmicutes
0f2d504b8fbe76af4b312c278f043739,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Chloroflexi
0f56a340e0c63df7044991763c8954db,1.4379638117768563,4.368859052825968,4.354978534612583, p__Actinobacteria
0f57c8f19465a77059d35b50829986b2,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Planctomycetes
0f693d101e5a0d2dda7a17011107385d,-7.699909813638329,-8.978425412505503,-2.4119713851169062, p__Actinobacteria
0f779dca4474b9eb5c1dd9ec28c39dd0,20.172202353336626,-5.3485770422234475,-11.828742196239393, p__Proteobacteria
0f7a7cc913a768e7a3f08e1e6e977d25,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Actinobacteria
0fd2ad7335df8a0f54c44eaf8276c98a,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Actinobacteria
0fecc8e2afdb39f3765513c5ef8985e7,14.793776465777187,-7.4162356649935575,-8.071967952623764, p__Acidobacteria
